practice_audio,practice_length,practice_colour,audio_trial,nmb_trial,audio_focus,PracticeTrial.thisRepN,PracticeTrial.thisTrialN,PracticeTrial.thisN,PracticeTrial.thisIndex,ExperimentTrial.thisRepN,ExperimentTrial.thisTrialN,ExperimentTrial.thisN,ExperimentTrial.thisIndex,FocusDummyTrial.thisRepN,FocusDummyTrial.thisTrialN,FocusDummyTrial.thisN,FocusDummyTrial.thisIndex,textIntroScreen.started,respIntroScreen.started,respIntroScreen.keys,respIntroScreen.rt,textRuleScreen.started,respRuleScreen.started,respRuleScreen.keys,respRuleScreen.rt,blank500.started,blank500.stopped,textPractice.started,textPractice.stopped,textNextAudioPractice.started,imageNextAudioPractice.started,soundPractice.started,textHesitationP.started,imageHesitationP.started,sliderHesitationP.started,sliderHesitationP.response,sliderHesitationP.rt,textSentenceP.started,imageSentenceP.started,sliderSentenceP.started,sliderSentenceP.response,sliderSentenceP.rt,textNewTrial.started,textNextAudio.started,imageNextAudio.started,soundFocusDummy.started,textHesitation.started,imageHesitation.started,sliderHesitation.started,sliderHesitation.response,sliderHesitation.rt,textSentence.started,imageSentence.started,sliderSentence.started,sliderSentence.response,sliderSentence.rt,textEndScreen.started,textEndScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,22.25025869999081,22.25025869999081,space,69.95629140001256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-10-06_16h49.50.879,hesitation,2022.2.4,60.03017115965051,
,,,,,,,,,,,,,,,,,,,,,,92.23929989998578,92.23929989998578,space,31.549594299984165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-10-06_16h49.50.879,hesitation,2022.2.4,60.03017115965051,
audio/practice_focus.wav,4,audio/practice_focus_c.png,,,,0,0,0,1,,,,,,,,,,,,,,,,,128.37457270000596,124.30997199998819,124.30997199998819,128.37457270000596,128.94111379998503,128.94111379998503,0.05050350000965409,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-10-06_16h49.50.879,hesitation,2022.2.4,60.03017115965051,
audio/practice_dummy.wav,4,audio/practice_dummy_c.png,,,,0,1,1,0,,,,,,,,,,,,,,,,,135.49446759998682,136.00847800000338,,,136.00847800000338,136.00847800000338,0.04137409999384545,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-10-06_16h49.50.879,hesitation,2022.2.4,60.03017115965051,
,,,trial9_stim.xlsx,1,audio/focus2_c.png,,,,,0,0,0,0,,,,,,,,,,,,,195.25049679999938,195.78146850000485,,,,,,142.77607629998238,142.77607629998238,142.77607629998238,2.0,12.349301599984756,155.66070020000916,155.66070020000916,155.66070020000916,1.0,10.100543999986257,166.29524599999422,179.06383120000828,179.06383120000828,0.047480300010647625,190.4137863999931,190.4137863999931,190.4137863999931,1.0,4.819248499989044,195.78146850000485,195.78146850000485,195.78146850000485,2.0,25.362310399999842,,,1,001,2022-10-06_16h49.50.879,hesitation,2022.2.4,60.03017115965051,
,,,trial5_stim.xlsx,2,audio/focus_2_c.png,,,,,0,1,1,1,,,,,,,,,,,,,253.03983069999958,253.570873699995,,,,,,,,,,,,,,,,221.66732229999616,234.6195400999859,234.6195400999859,0.05428009998286143,244.7864014999941,244.7864014999941,244.7864014999941,1.0,8.242359800002305,253.570873699995,253.570873699995,253.570873699995,2.0,25.261819600011222,,,1,001,2022-10-06_16h49.50.879,hesitation,2022.2.4,60.03017115965051,
,,,trial1_stim.xlsx,3,audio/millions_c.png,,,,,0,2,2,2,,,,,,,,,,,,,312.07954529998824,312.6103693000041,,,,,,,,,,,,,,,,279.3573410999961,295.77560419999645,295.77560419999645,0.061927500006277114,307.25956079998286,307.25956079998286,307.25956079998286,0.0,4.808308699983172,312.6103693000041,312.6103693000041,312.6103693000041,1.0,4.094702600006713,,,1,001,2022-10-06_16h49.50.879,hesitation,2022.2.4,60.03017115965051,
,,,trial2_stim.xlsx,4,audio/gym_c.png,,,,,0,3,3,3,,,,,,,,,,,,,342.18231159998686,342.71337589999894,,,,,,,,,,,,,,,,317.24411179998424,328.6125869000098,328.6125869000098,0.053738699993118644,337.96285949999583,337.96285949999583,337.96285949999583,0.0,4.210066200001165,342.71337589999894,342.71337589999894,342.71337589999894,1.0,1.5429826999898069,,,1,001,2022-10-06_16h49.50.879,hesitation,2022.2.4,60.03017115965051,
,,,trial6_stim.xlsx,5,audio/focus_3_c.png,,,,,0,4,4,4,,,,,,,,,,,,,372.98574380000355,373.5166828999936,,,,,,,,,,,,,,,,344.7800999000028,357.09872849998646,357.09872849998646,0.055271300021559,368.9495254000067,368.9495254000067,368.9495254000067,0.0,4.0266164999920875,373.5166828999936,373.5166828999936,373.5166828999936,2.0,5.142323900014162,,,1,001,2022-10-06_16h49.50.879,hesitation,2022.2.4,60.03017115965051,
,,,trial4_stim.xlsx,6,audio/focus_1_c.png,,,,,0,5,5,5,,,,,,,,,,,,,412.4397761999862,412.97058289998677,,,,,,,,,,,,,,,,379.1838620000053,393.36925849999534,393.36925849999534,0.052945599978556857,403.2362770999898,403.2362770999898,403.2362770999898,2.0,9.193553900026018,412.97058289998677,412.97058289998677,412.97058289998677,1.0,2.5957219999982044,,,1,001,2022-10-06_16h49.50.879,hesitation,2022.2.4,60.03017115965051,
