practice_audio,practice_length,practice_colour,audio_trial,nmb_trial,audio_focus,PracticeTrial.thisRepN,PracticeTrial.thisTrialN,PracticeTrial.thisN,PracticeTrial.thisIndex,ExperimentTrial.thisRepN,ExperimentTrial.thisTrialN,ExperimentTrial.thisN,ExperimentTrial.thisIndex,FocusDummyTrial.thisRepN,FocusDummyTrial.thisTrialN,FocusDummyTrial.thisN,FocusDummyTrial.thisIndex,textIntroScreen.started,respIntroScreen.started,respIntroScreen.keys,respIntroScreen.rt,textRuleScreen.started,respRuleScreen.started,respRuleScreen.keys,respRuleScreen.rt,blank500.started,blank500.stopped,textPractice.started,textPractice.stopped,textNextAudioPractice.started,imageNextAudioPractice.started,soundPractice.started,textHesitationP.started,imageHesitationP.started,sliderHesitationP.started,sliderHesitationP.response,sliderHesitationP.rt,textSentenceP.started,imageSentenceP.started,sliderSentenceP.started,sliderSentenceP.response,sliderSentenceP.rt,textNewTrial.started,textNewTrial.stopped,textNextAudio.started,imageNextAudio.started,textNextAudio.stopped,imageNextAudio.stopped,soundFocusDummy.started,textHesitation.started,imageHesitation.started,sliderHesitation.started,sliderHesitation.response,sliderHesitation.rt,textSentence.started,imageSentence.started,sliderSentence.started,sliderSentence.response,sliderSentence.rt,soundFocusDummy.stopped,textEndScreen.started,textEndScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,15.239406700013205,15.239406700013205,space,18.757480000029318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2022-10-05_20h22.10.144,hesitation,2022.2.4,60.374332949999314,
,,,,,,,,,,,,,,,,,,,,,,34.01477460004389,34.01477460004389,space,13.494823400047608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2022-10-05_20h22.10.144,hesitation,2022.2.4,60.374332949999314,
audio/practice_focus.wav,4,audio/practice_focus_c.png,,,,0,0,0,1,,,,,,,,,,,,,,,,,52.03137930005323,52.532808100106195,48.03151490003802,52.03137930005323,52.532808100106195,52.532808100106195,0.018572699977084994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2022-10-05_20h22.10.144,hesitation,2022.2.4,60.374332949999314,
audio/practice_dummy.wav,4,audio/practice_dummy_c.png,,,,0,1,1,0,,,,,,,,,,,,,,,,,59.16465620009694,59.666185400099494,,,59.666185400099494,59.666185400099494,0.019313300028443336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2022-10-05_20h22.10.144,hesitation,2022.2.4,60.374332949999314,
,,,trial9_stim.xlsx,1,audio/focus2_c.png,,,,,0,0,0,0,,,,,,,,,,,,,113.21455210004933,113.72958060004748,,,,,,66.36473860009573,66.36473860009573,66.36473860009573,1.0,9.46807390009053,76.34784570010379,76.34784570010379,76.34784570010379,2.0,6.600382399978116,83.46437710011378,85.46470980008598,97.76628050010186,97.76628050010186,88.96452050004154,88.96452050004154,0.020388800068758428,107.5296899001114,107.5296899001114,107.5296899001114,3.0,5.6785027999430895,113.72958060004748,113.72958060004748,113.72958060004748,2.0,3.2274212999036536,,,,2,001,2022-10-05_20h22.10.144,hesitation,2022.2.4,60.374332949999314,
,,,trial5_stim.xlsx,2,audio/focus_2_c.png,,,,,0,1,1,1,,,,,,,,,,,,,145.76443500001915,146.26443650003057,,,,,,,,,,,,,,,,117.46447290002834,119.46471950004343,130.39964150008745,130.39964150008745,,,0.02011849998962134,140.5145332000684,140.5145332000684,140.5145332000684,2.0,5.230487799970433,146.26443650003057,146.26443650003057,146.26443650003057,1.0,2.180997799965553,,,,2,001,2022-10-05_20h22.10.144,hesitation,2022.2.4,60.374332949999314,
,,,trial1_stim.xlsx,3,audio/millions_c.png,,,,,0,2,2,2,,,,,,,,,,,,,186.53114930004813,187.0311002000235,,,,,,,,,,,,,,,,148.9647933000233,150.9648254000349,163.41586280008778,163.41586280008778,166.41446650004946,166.41446650004946,0.005714999977499247,176.76443310000468,176.76443310000468,176.76443310000468,2.0,9.74667090002913,187.0311002000235,187.0311002000235,187.0311002000235,1.0,2.5491864000214264,,,,2,001,2022-10-05_20h22.10.144,hesitation,2022.2.4,60.374332949999314,
,,,trial2_stim.xlsx,4,audio/gym_c.png,,,,,0,3,3,3,,,,,,,,,,,,,215.9809086000314,216.48111100005917,,,,,,,,,,,,,,,,190.0979520000983,192.0977331000613,201.46591610007454,201.46591610007454,,,0.0038458999479189515,210.76445280003827,210.76445280003827,210.76445280003827,0.0,5.197773199994117,216.48111100005917,216.48111100005917,216.48111100005917,0.0,1.0310142000671476,,,,2,001,2022-10-05_20h22.10.144,hesitation,2022.2.4,60.374332949999314,
,,,trial6_stim.xlsx,5,audio/focus_3_c.png,,,,,0,4,4,4,,,,,,,,,,,,,248.5644014000427,249.07920840010047,,,,,,,,,,,,,,,,218.0312125000637,220.03130250005051,232.84909910010174,232.84909910010174,,,0.020681300084106624,242.12940630002413,242.12940630002413,242.12940630002413,2.0,6.424966200022027,249.07920840010047,249.07920840010047,249.07920840010047,1.0,8.54461350000929,,,,2,001,2022-10-05_20h22.10.144,hesitation,2022.2.4,60.374332949999314,
,,,trial4_stim.xlsx,6,audio/focus_1_c.png,,,,,0,5,5,5,,,,,,,,,,,,,285.89765060006175,286.39793700003065,,,,,,,,,,,,,,,,258.13103860011324,260.13107320002746,272.2491124001099,272.2491124001099,263.6310340000782,263.6310340000782,0.02072929998394102,282.079495800077,282.079495800077,282.079495800077,2.0,3.8111303000478074,286.39793700003065,286.39793700003065,286.39793700003065,1.0,0.6446011000080034,,,,2,001,2022-10-05_20h22.10.144,hesitation,2022.2.4,60.374332949999314,
